YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 1-3,BSCS 1-3,DCIT 21 - Introduction to Computing,Lecture,ITC 502,Wednesday,13:00-15:00,Kilo Dela Cruz
BSCS 1-3,BSCS 1-3,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,10:00-13:00,November Sy
BSCS 1-3,BSCS 1-3,DCIT 22 - Computer Programming 1,Lecture,ITC 404,Wednesday,11:00-12:00,Delta Chua
BSCS 1-3,BSCS 1-3,CVSU 101 - Institutional Orientation,Lecture,ITC 503,Wednesday,13:00-14:00,India Ramos
BSCS 1-3,BSCS 1-3,GNED 02 - Ethics,Lecture,ITC 201,Tuesday,13:00-16:00,Sample Instructor
BSCS 1-3,BSCS 1-3,GNED 05 - Purposive Communication,Lecture,OS,Tuesday,08:00-11:00,Sample Instructor
BSCS 1-3,BSCS 1-3,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 402,Monday,08:00-11:00,Sample Instructor
BSCS 1-3,BSCS 1-3,FITT 1 - Movement Enhancement,Lecture,ITC 505,Saturday,12:00-14:00,Sample Instructor
BSCS 1-3,BSCS 1-3,NSTP 1 - National Service Training Program 1,Lecture,ITC 503,Friday,10:00-13:00,Sample Instructor
BSCS 1-4,BSCS 1-4,COSC 50 - Discrete Structures I,Lecture,ITC 505,Wednesday,12:00-15:00,Mike Domingo
BSCS 1-4,BSCS 1-4,DCIT 21 - Introduction to Computing,Lecture,ITC 505,Wednesday,11:00-13:00,Kilo Dela Cruz
BSCS 1-4,BSCS 1-4,DCIT 21 - Introduction to Computing,Lab,CCL 402,Monday,08:00-11:00,November Sy
BSCS 1-4,BSCS 1-4,DCIT 22 - Computer Programming 1,Lecture,ITC 408,Monday,08:00-09:00,Delta Chua
BSCS 1-4,BSCS 1-4,CVSU 101 - Institutional Orientation,Lecture,ITC 403,Wednesday,13:00-14:00,Lima Salazar
BSCS 1-4,BSCS 1-4,GNED 02 - Ethics,Lecture,ITC 408,Monday,13:00-16:00,Sample Instructor
BSCS 1-4,BSCS 1-4,GNED 05 - Purposive Communication,Lecture,ITC 401,Thursday,08:00-11:00,Sample Instructor
BSCS 1-4,BSCS 1-4,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 201,Wednesday,07:00-10:00,Sample Instructor
BSCS 1-4,BSCS 1-4,FITT 1 - Movement Enhancement,Lecture,ITC 408,Friday,13:00-15:00,Sample Instructor
BSCS 1-4,BSCS 1-4,NSTP 1 - National Service Training Program 1,Lecture,ITC 502,Saturday,09:00-12:00,Sample Instructor
BSCS 1-5,BSCS 1-5,COSC 50 - Discrete Structures I,Lecture,OS,Wednesday,08:00-11:00,Mike Domingo
BSCS 1-5,BSCS 1-5,DCIT 21 - Introduction to Computing,Lecture,ITC 502,Monday,11:00-13:00,November Sy
BSCS 1-5,BSCS 1-5,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,07:00-10:00,November Sy
BSCS 1-5,BSCS 1-5,DCIT 22 - Computer Programming 1,Lecture,ITC 401,Monday,10:00-11:00,Delta Chua
BSCS 1-5,BSCS 1-5,CVSU 101 - Institutional Orientation,Lecture,ITC 402,Tuesday,14:00-15:00,Lima Salazar
BSCS 1-5,BSCS 1-5,GNED 02 - Ethics,Lecture,ITC 408,Wednesday,11:00-14:00,Sample Instructor
BSCS 1-5,BSCS 1-5,GNED 05 - Purposive Communication,Lecture,ITC 503,Thursday,10:00-13:00,Sample Instructor
BSCS 1-5,BSCS 1-5,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,OS,Thursday,09:00-12:00,Sample Instructor
BSCS 1-5,BSCS 1-5,NSTP 1 - National Service Training Program 1,Lecture,ITC 401,Friday,10:00-13:00,Sample Instructor
BSCS 1-6,BSCS 1-6,COSC 50 - Discrete Structures I,Lecture,ITC 408,Tuesday,09:00-12:00,Oscar Manalo
BSCS 1-6,BSCS 1-6,DCIT 21 - Introduction to Computing,Lecture,ITC 501,Monday,12:00-14:00,Quebec Padilla
BSCS 1-6,BSCS 1-6,DCIT 21 - Introduction to Computing,Lab,CCL 402,Wednesday,14:00-17:00,Quebec Padilla
BSCS 1-6,BSCS 1-6,DCIT 22 - Computer Programming 1,Lecture,ITC 502,Thursday,11:00-12:00,Delta Chua
BSCS 1-6,BSCS 1-6,CVSU 101 - Institutional Orientation,Lecture,ITC 404,Monday,16:00-17:00,Lima Salazar
BSCS 1-6,BSCS 1-6,GNED 02 - Ethics,Lecture,OS,Monday,08:00-11:00,Sample Instructor
BSCS 1-6,BSCS 1-6,GNED 05 - Purposive Communication,Lecture,ITC 408,Thursday,10:00-13:00,Sample Instructor
BSCS 1-6,BSCS 1-6,FITT 1 - Movement Enhancement,Lecture,ITC 403,Saturday,13:00-15:00,Sample Instructor
BSCS 1-6,BSCS 1-6,NSTP 1 - National Service Training Program 1,Lecture,ITC 502,Friday,09:00-12:00,Sample Instructor
BSCS 1-7,BSCS 1-7,COSC 50 - Discrete Structures I,Lecture,ITC 505,Thursday,09:00-12:00,Oscar Manalo
BSCS 1-7,BSCS 1-7,DCIT 21 - Introduction to Computing,Lecture,ITC 501,Monday,15:00-17:00,Quebec Padilla
BSCS 1-7,BSCS 1-7,DCIT 21 - Introduction to Computing,Lab,CCL 402,Thursday,13:00-16:00,Quebec Padilla
BSCS 1-7,BSCS 1-7,DCIT 22 - Computer Programming 1,Lecture,ITC 402,Monday,09:00-10:00,Delta Chua
BSCS 1-7,BSCS 1-7,CVSU 101 - Institutional Orientation,Lecture,ITC 201,Tuesday,08:00-09:00,Lima Salazar
BSCS 1-7,BSCS 1-7,GNED 02 - Ethics,Lecture,ITC 501,Thursday,11:00-14:00,Sample Instructor
BSCS 1-7,BSCS 1-7,GNED 05 - Purposive Communication,Lecture,ITC 408,Wednesday,10:00-13:00,Sample Instructor
BSCS 1-7,BSCS 1-7,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 403,Tuesday,12:00-15:00,Sample Instructor
BSCS 1-7,BSCS 1-7,FITT 1 - Movement Enhancement,Lecture,ITC 402,Friday,10:00-12:00,Sample Instructor
BSCS 1-7,BSCS 1-7,NSTP 1 - National Service Training Program 1,Lecture,ITC 402,Friday,10:00-13:00,Sample Instructor
BSCS 2-1,BSCS 2-1,COSC 55 - Discrete Structures II,Lecture,ITC 504,Tuesday,14:00-17:00,Uniform Fabros
BSCS 2-1,BSCS 2-1,COSC 60 - Digital Logic Design,Lecture,ITC 504,Tuesday,07:00-09:00,Oscar Manalo
BSCS 2-1,BSCS 2-1,COSC 60 - Digital Logic Design,Lab,CCL 305,Tuesday,12:00-15:00,Badger Abad
BSCS 2-1,BSCS 2-1,DCIT 50 - Object Oriented Programming,Lecture,ITC 201,Monday,11:00-13:00,Hotel Rivera
BSCS 2-1,BSCS 2-1,DCIT 50 - Object Oriented Programming,Lab,CCL 303,Thursday,09:00-12:00,Hotel Rivera
BSCS 2-1,BSCS 2-1,DCIT 24 - Information Management,Lecture,OS,Tuesday,07:00-09:00,Bravo Santos
BSCS 2-1,BSCS 2-1,DCIT 24 - Information Management,Lab,CCL 306,Monday,12:00-15:00,Bravo Santos
BSCS 2-1,BSCS 2-1,INSY 50 - Fundamentals of Information Systems,Lecture,ITC 503,Wednesday,07:00-10:00,Papa Velasco
BSCS 2-1,BSCS 2-1,GNED 04 - Mga Babasahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 505,Tuesday,11:00-14:00,Sample Instructor
BSCS 2-1,BSCS 2-1,FITT 3 - Physical Activities towards Health and Fitness 1,Lecture,ITC 201,Friday,07:00-09:00,Sample Instructor
BSCS 2-1,BSCS 2-1,MATH 1 - Analytic Geometry,Lecture,ITC 503,Wednesday,09:00-12:00,Sample Instructor
BSCS 2-2,BSCS 2-2,COSC 55 - Discrete Structures II,Lecture,ITC 402,Wednesday,10:00-13:00,Uniform Fabros
BSCS 2-2,BSCS 2-2,COSC 60 - Digital Logic Design,Lecture,OS,Thursday,07:00-09:00,Oscar Manalo
BSCS 2-2,BSCS 2-2,COSC 60 - Digital Logic Design,Lab,CCL 305,Monday,10:00-13:00,Badger Abad
BSCS 2-2,BSCS 2-2,DCIT 50 - Object Oriented Programming,Lecture,OS,Tuesday,11:00-13:00,Hotel Rivera
BSCS 2-2,BSCS 2-2,DCIT 50 - Object Oriented Programming,Lab,CCL 303,Thursday,12:00-15:00,Hotel Rivera
BSCS 2-2,BSCS 2-2,DCIT 24 - Information Management,Lecture,ITC 502,Tuesday,12:00-14:00,Bravo Santos
BSCS 2-2,BSCS 2-2,DCIT 24 - Information Management,Lab,CCL 306,Monday,08:00-11:00,Bravo Santos
BSCS 2-2,BSCS 2-2,INSY 50 - Fundamentals of Information Systems,Lecture,ITC 504,Tuesday,07:00-10:00,Papa Velasco
BSCS 2-2,BSCS 2-2,GNED 04 - Mga Babasahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 501,Tuesday,11:00-14:00,Sample Instructor
BSCS 2-2,BSCS 2-2,FITT 3 - Physical Activities towards Health and Fitness 1,Lecture,ITC 501,Saturday,10:00-12:00,Sample Instructor
BSCS 2-2,BSCS 2-2,MATH 1 - Analytic Geometry,Lecture,ITC 403,Tuesday,08:00-11:00,Sample Instructor
BSCS 2-3,BSCS 2-3,COSC 55 - Discrete Structures II,Lecture,ITC 505,Monday,10:00-13:00,Uniform Fabros
BSCS 2-3,BSCS 2-3,COSC 60 - Digital Logic Design,Lecture,ITC 504,Tuesday,08:00-10:00,Badger Abad
BSCS 2-3,BSCS 2-3,COSC 60 - Digital Logic Design,Lab,CCL 305,Tuesday,15:00-18:00,Badger Abad
BSCS 2-3,BSCS 2-3,DCIT 50 - Object Oriented Programming,Lecture,ITC 408,Tuesday,07:00-09:00,Hotel Rivera
BSCS 2-3,BSCS 2-3,DCIT 50 - Object Oriented Programming,Lab,CCL 303,Tuesday,07:00-10:00,Romeo Aquino
BSCS 2-3,BSCS 2-3,DCIT 24 - Information Management,Lecture,ITC 401,Wednesday,15:00-17:00,Bravo Santos
BSCS 2-3,BSCS 2-3,DCIT 24 - Information Management,Lab,CCL 306,Monday,15:00-18:00,Uniform Fabros
BSCS 2-3,BSCS 2-3,INSY 50 - Fundamentals of Information Systems,Lecture,ITC 403,Thursday,07:00-10:00,Papa Velasco
BSCS 2-3,BSCS 2-3,FITT 3 - Physical Activities towards Health and Fitness 1,Lecture,ITC 201,Saturday,07:00-09:00,Sample Instructor
BSCS 2-3,BSCS 2-3,MATH 1 - Analytic Geometry,Lecture,ITC 401,Tuesday,12:00-15:00,Sample Instructor
BSCS 2-4,BSCS 2-4,COSC 55 - Discrete Structures II,Lecture,ITC 402,Tuesday,10:00-13:00,Uniform Fabros
BSCS 2-4,BSCS 2-4,COSC 60 - Digital Logic Design,Lecture,ITC 501,Thursday,16:00-18:00,Badger Abad
BSCS 2-4,BSCS 2-4,COSC 60 - Digital Logic Design,Lab,CCL 305,Thursday,07:00-10:00,Badger Abad
BSCS 2-4,BSCS 2-4,DCIT 50 - Object Oriented Programming,Lecture,ITC 404,Wednesday,08:00-10:00,Romeo Aquino
BSCS 2-4,BSCS 2-4,DCIT 50 - Object Oriented Programming,Lab,CCL 303,Thursday,08:00-11:00,Romeo Aquino
BSCS 2-4,BSCS 2-4,DCIT 24 - Information Management,Lecture,ITC 502,Wednesday,15:00-17:00,Uniform Fabros
BSCS 2-4,BSCS 2-4,DCIT 24 - Information Management,Lab,CCL 306,Monday,07:00-10:00,Uniform Fabros
BSCS 2-4,BSCS 2-4,INSY 50 - Fundamentals of Information Systems,Lecture,ITC 502,Tuesday,07:00-10:00,Whiskey Santiago
BSCS 2-4,BSCS 2-4,GNED 04 - Mga Babasahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 504,Tuesday,13:00-16:00,Sample Instructor
BSCS 2-4,BSCS 2-4,FITT 3 - Physical Activities towards Health and Fitness 1,Lecture,ITC 504,Friday,14:00-16:00,Sample Instructor
BSCS 2-4,BSCS 2-4,MATH 1 - Analytic Geometry,Lecture,ITC 401,Monday,12:00-15:00,Sample Instructor
BSCS 2-5,BSCS 2-5,COSC 55 - Discrete Structures II,Lecture,ITC 501,Tuesday,07:00-10:00,Uniform Fabros
BSCS 2-5,BSCS 2-5,COSC 60 - Digital Logic Design,Lecture,OS,Thursday,14:00-16:00,Badger Abad
BSCS 2-5,BSCS 2-5,COSC 60 - Digital Logic Design,Lab,CCL 305,Monday,14:00-17:00,Badger Abad
BSCS 2-5,BSCS 2-5,DCIT 50 - Object Oriented Programming,Lecture,ITC 502,Wednesday,10:00-12:00,Romeo Aquino
BSCS 2-5,BSCS 2-5,DCIT 50 - Object Oriented Programming,Lab,CCL 303,Tuesday,16:00-19:00,Cheetah Alcaraz
BSCS 2-5,BSCS 2-5,DCIT 24 - Information Management,Lecture,ITC 402,Wednesday,07:00-09:00,Uniform Fabros
BSCS 2-5,BSCS 2-5,DCIT 24 - Information Management,Lab,CCL 306,Wednesday,13:00-16:00,Falcon Cruz
BSCS 2-5,BSCS 2-5,INSY 50 - Fundamentals of Information Systems,Lecture,ITC 201,Wednesday,12:00-15:00,Whiskey Santiago
BSCS 2-5,BSCS 2-5,GNED 04 - Mga Babasahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 505,Tuesday,10:00-13:00,Sample Instructor
BSCS 2-5,BSCS 2-5,FITT 3 - Physical Activities towards Health and Fitness 1,Lecture,ITC 502,Friday,10:00-12:00,Sample Instructor
BSCS 2-5,BSCS 2-5,MATH 1 - Analytic Geometry,Lecture,ITC 502,Wednesday,09:00-12:00,Sample Instructor
BSCS 3-1,BSCS 3-1,COSC 75 - Software Engineering II,Lecture,OS,Wednesday,11:00-13:00,Juliet Lopez
BSCS 3-1,BSCS 3-1,COSC 75 - Software Engineering II,Lab,ITC 408,Wednesday,07:00-10:00,Juliet Lopez
BSCS 3-1,BSCS 3-1,COSC 80 - Operating Systems,Lecture,ITC 502,Tuesday,10:00-12:00,Juliet Lopez
BSCS 3-1,BSCS 3-1,COSC 80 - Operating Systems,Lab,CCL 202,Friday,16:00-19:00,Cheetah Alcaraz
BSCS 3-1,BSCS 3-1,COSC 85 - Networks and Communication,Lecture,ITC 402,Monday,16:00-18:00,Zulu Navarro
BSCS 3-1,BSCS 3-1,COSC 85 - Networks and Communication,Lab,CCL 305,Monday,11:00-14:00,Zulu Navarro
BSCS 3-1,BSCS 3-1,COSC 101 - CS Elective 1 (Computer Graphics and Visual Computing),Lecture,ITC 403,Wednesday,09:00-11:00,Badger Abad
BSCS 3-1,BSCS 3-1,COSC 101 - CS Elective 1 (Computer Graphics and Visual Computing),Lab,CCL 202,Wednesday,13:00-16:00,Badger Abad
BSCS 3-1,BSCS 3-1,DCIT 26 - Applications Development and Emerging Technologies,Lecture,ITC 404,Tuesday,11:00-13:00,Foxtrot Lim
BSCS 3-1,BSCS 3-1,DCIT 26 - Applications Development and Emerging Technologies,Lab,CCL 303,Friday,13:00-16:00,Zulu Navarro
BSCS 3-1,BSCS 3-1,DCIT 65 - Social and Professional Issues,Lecture,ITC 503,Wednesday,12:00-15:00,Charlie Mendoza
BSCS 3-1,BSCS 3-1,MATH 3 - Linear Algebra,Lecture,OS,Friday,07:00-10:00,Sample Instructor
BSCS 3-2,BSCS 3-2,COSC 75 - Software Engineering II,Lecture,ITC 402,Friday,16:00-18:00,Whiskey Santiago
BSCS 3-2,BSCS 3-2,COSC 75 - Software Engineering II,Lab,ITC 408,Monday,12:00-15:00,Whiskey Santiago
BSCS 3-2,BSCS 3-2,COSC 80 - Operating Systems,Lecture,ITC 501,Tuesday,14:00-16:00,Cheetah Alcaraz
BSCS 3-2,BSCS 3-2,COSC 80 - Operating Systems,Lab,CCL 202,Friday,09:00-12:00,Cheetah Alcaraz
BSCS 3-2,BSCS 3-2,COSC 85 - Networks and Communication,Lecture,ITC 502,Thursday,15:00-17:00,Zulu Navarro
BSCS 3-2,BSCS 3-2,COSC 85 - Networks and Communication,Lab,CCL 305,Wednesday,14:00-17:00,Zulu Navarro
BSCS 3-2,BSCS 3-2,COSC 101 - CS Elective 1 (Computer Graphics and Visual Computing),Lecture,ITC 201,Thursday,10:00-12:00,Badger Abad
BSCS 3-2,BSCS 3-2,COSC 101 - CS Elective 1 (Computer Graphics and Visual Computing),Lab,CCL 202,Monday,07:00-10:00,Badger Abad
BSCS 3-2,BSCS 3-2,DCIT 26 - Applications Development and Emerging Technologies,Lecture,ITC 403,Thursday,12:00-14:00,Zulu Navarro
BSCS 3-2,BSCS 3-2,DCIT 26 - Applications Development and Emerging Technologies,Lab,CCL 303,Friday,16:00-19:00,Zulu Navarro
BSCS 3-2,BSCS 3-2,DCIT 65 - Social and Professional Issues,Lecture,ITC 201,Monday,12:00-15:00,Charlie Mendoza
BSCS 3-2,BSCS 3-2,MATH 3 - Linear Algebra,Lecture,ITC 402,Friday,07:00-10:00,Sample Instructor
BSCS 3-3,BSCS 3-3,COSC 75 - Software Engineering II,Lecture,ITC 501,Wednesday,16:00-18:00,Whiskey Santiago
BSCS 3-3,BSCS 3-3,COSC 75 - Software Engineering II,Lab,ITC 408,Friday,10:00-13:00,Whiskey Santiago
BSCS 3-3,BSCS 3-3,COSC 80 - Operating Systems,Lecture,ITC 404,Friday,07:00-09:00,Cheetah Alcaraz
BSCS 3-3,BSCS 3-3,COSC 80 - Operating Systems,Lab,CCL 202,Wednesday,14:00-17:00,Cheetah Alcaraz
BSCS 3-3,BSCS 3-3,COSC 85 - Networks and Communication,Lecture,ITC 403,Monday,14:00-16:00,Zulu Navarro
BSCS 3-3,BSCS 3-3,COSC 85 - Networks and Communication,Lab,CCL 305,Thursday,11:00-14:00,Koala Garcia
BSCS 3-3,BSCS 3-3,COSC 101 - CS Elective 1 (Computer Graphics and Visual Computing),Lecture,ITC 404,Thursday,09:00-11:00,Sample Instructor
BSCS 3-3,BSCS 3-3,COSC 101 - CS Elective 1 (Computer Graphics and Visual Computing),Lab,CCL 202,Saturday,13:00-16:00,Sample Instructor
BSCS 3-3,BSCS 3-3,DCIT 26 - Applications Development and Emerging Technologies,Lecture,ITC 201,Friday,11:00-13:00,Zulu Navarro
BSCS 3-3,BSCS 3-3,DCIT 26 - Applications Development and Emerging Technologies,Lab,CCL 303,Tuesday,10:00-13:00,Eagle Co
BSCS 3-3,BSCS 3-3,DCIT 65 - Social and Professional Issues,Lecture,ITC 201,Monday,08:00-11:00,Charlie Mendoza
BSCS 3-3,BSCS 3-3,MATH 3 - Linear Algebra,Lecture,ITC 503,Wednesday,10:00-13:00,Sample Instructor
BSCS 4-1,BSCS 4-1,ITEC 80 - Human Computer Interaction,Lecture,ITC 408,Thursday,13:00-16:00,Charlie Mendoza
BSCS 4-1,BSCS 4-1,COSC 100 - Automata Theory and Formal Languages,Lecture,ITC 502,Friday,13:00-16:00,Cheetah Alcaraz
BSCS 4-1,BSCS 4-1,COSC 105 - Intelligent Systems,Lecture,ITC 503,Wednesday,10:00-12:00,Dingo Bautista
BSCS 4-1,BSCS 4-1,COSC 105 - Intelligent Systems,Lab,CCL 306,Monday,09:00-12:00,Dingo Bautista
BSCS 4-1,BSCS 4-1,COSC 111 - CS Elective 3 (Internet of Things),Lecture,ITC 504,Thursday,07:00-09:00,Panda Rosales
BSCS 4-1,BSCS 4-1,COSC 111 - CS Elective 3 (Internet of Things),Lab,CCL 102,Tuesday,07:00-10:00,Panda Rosales
BSCS 4-1,BSCS 4-1,COSC 200A - Undergraduate Thesis I,Lecture,ITC 404,Saturday,10:00-11:00,Sample Instructor
BSCS 4-2,BSCS 4-2,ITEC 80 - Human Computer Interaction,Lecture,ITC 402,Monday,07:00-10:00,Quebec Padilla
BSCS 4-2,BSCS 4-2,COSC 100 - Automata Theory and Formal Languages,Lecture,ITC 503,Wednesday,11:00-14:00,Cheetah Alcaraz
BSCS 4-2,BSCS 4-2,COSC 105 - Intelligent Systems,Lecture,ITC 404,Wednesday,14:00-16:00,Dingo Bautista
BSCS 4-2,BSCS 4-2,COSC 105 - Intelligent Systems,Lab,CCL 306,Wednesday,07:00-10:00,Dingo Bautista
BSCS 4-2,BSCS 4-2,COSC 111 - CS Elective 3 (Internet of Things),Lecture,ITC 404,Thursday,11:00-13:00,Panda Rosales
BSCS 4-2,BSCS 4-2,COSC 111 - CS Elective 3 (Internet of Things),Lab,CCL 102,Friday,10:00-13:00,Panda Rosales
BSCS 4-2,BSCS 4-2,COSC 200A - Undergraduate Thesis I,Lecture,ITC 402,Friday,12:00-13:00,Sample Instructor
BSCS 4-3,BSCS 4-3,ITEC 80 - Human Computer Interaction,Lecture,ITC 403,Wednesday,10:00-13:00,Quebec Padilla
BSCS 4-3,BSCS 4-3,COSC 100 - Automata Theory and Formal Languages,Lecture,ITC 504,Thursday,14:00-17:00,Cheetah Alcaraz
BSCS 4-3,BSCS 4-3,COSC 105 - Intelligent Systems,Lecture,ITC 402,Monday,12:00-14:00,Dingo Bautista
BSCS 4-3,BSCS 4-3,COSC 105 - Intelligent Systems,Lab,CCL 306,Friday,10:00-13:00,Dingo Bautista
BSCS 4-3,BSCS 4-3,COSC 111 - CS Elective 3 (Internet of Things),Lecture,ITC 408,Thursday,09:00-11:00,Panda Rosales
BSCS 4-3,BSCS 4-3,COSC 111 - CS Elective 3 (Internet of Things),Lab,CCL 102,Tuesday,10:00-13:00,Panda Rosales
BSCS 4-3,BSCS 4-3,COSC 200A - Undergraduate Thesis I,Lecture,ITC 502,Tuesday,15:00-16:00,Sample Instructor
BSIT 1-1,BSIT 1-1,COSC 50 - Discrete Structures I,Lecture,ITC 402,Monday,12:00-15:00,Tango Rosales
BSIT 1-1,BSIT 1-1,DCIT 21 - Introduction to Computing,Lecture,ITC 505,Wednesday,17:00-19:00,Quebec Padilla
BSIT 1-1,BSIT 1-1,DCIT 21 - Introduction to Computing,Lab,CCL 402,Wednesday,07:00-10:00,Quebec Padilla
BSIT 1-1,BSIT 1-1,DCIT 22 - Computer Programming 1,Lecture,ITC 501,Wednesday,07:00-08:00,Delta Chua
BSIT 1-1,BSIT 1-1,CVSU 101 - Institutional Orientation,Lecture,ITC 404,Wednesday,16:00-17:00,Lima Salazar
BSIT 1-1,BSIT 1-1,GNED 02 - Ethics,Lecture,ITC 404,Wednesday,12:00-15:00,Sample Instructor
BSIT 1-1,BSIT 1-1,GNED 05 - Purposive Communication,Lecture,ITC 501,Monday,07:00-10:00,Sample Instructor
BSIT 1-1,BSIT 1-1,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 503,Thursday,07:00-10:00,Sample Instructor
BSIT 1-1,BSIT 1-1,FITT 1 - Movement Enhancement,Lecture,ITC 408,Saturday,13:00-15:00,Sample Instructor
BSIT 1-1,BSIT 1-1,NSTP 1 - National Service Training Program 1,Lecture,ITC 404,Friday,09:00-12:00,Sample Instructor
BSIT 1-2,BSIT 1-2,COSC 50 - Discrete Structures I,Lecture,ITC 503,Monday,07:00-10:00,Tango Rosales
BSIT 1-2,BSIT 1-2,DCIT 21 - Introduction to Computing,Lecture,ITC 401,Tuesday,09:00-11:00,Quebec Padilla
BSIT 1-2,BSIT 1-2,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,14:00-17:00,Quebec Padilla
BSIT 1-2,BSIT 1-2,DCIT 22 - Computer Programming 1,Lecture,ITC 201,Monday,11:00-12:00,Delta Chua
BSIT 1-2,BSIT 1-2,CVSU 101 - Institutional Orientation,Lecture,ITC 402,Wednesday,08:00-09:00,Lima Salazar
BSIT 1-2,BSIT 1-2,GNED 02 - Ethics,Lecture,ITC 504,Monday,11:00-14:00,Sample Instructor
BSIT 1-2,BSIT 1-2,GNED 05 - Purposive Communication,Lecture,ITC 503,Tuesday,13:00-16:00,Sample Instructor
BSIT 1-2,BSIT 1-2,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 408,Wednesday,08:00-11:00,Sample Instructor
BSIT 1-2,BSIT 1-2,FITT 1 - Movement Enhancement,Lecture,ITC 404,Friday,10:00-12:00,Sample Instructor
BSIT 1-2,BSIT 1-2,NSTP 1 - National Service Training Program 1,Lecture,ITC 502,Saturday,08:00-11:00,Sample Instructor
BSIT 1-3,BSIT 1-3,COSC 50 - Discrete Structures I,Lecture,OS,Thursday,08:00-11:00,Tango Rosales
BSIT 1-3,BSIT 1-3,DCIT 21 - Introduction to Computing,Lecture,ITC 408,Monday,10:00-12:00,Quebec Padilla
BSIT 1-3,BSIT 1-3,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,11:00-14:00,Quebec Padilla
BSIT 1-3,BSIT 1-3,DCIT 22 - Computer Programming 1,Lecture,OS,Thursday,08:00-09:00,Delta Chua
